"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
191;"Philipp Treu";"Freiburg";17;1272;1;1;0.73;0.74;0.05;0.05
192;"Adam Dzwigala";"St. Pauli";12;825;1;1;0.11;0.19;0.01;0.02
193;"Léo Scienza";"FC Heidenheim";2;180;1;0;0.14;1.32;0.07;0.66
194;"Sirlord Conteh";"FC Heidenheim";9;409;1;1;2.54;0.49;0.56;0.11
195;"Chema Andres";"VfB Stuttgart";14;679;1;0;0.9;0.19;0.12;0.02
196;"Arthur Chaves";"Augsburg,Hoffenheim";6;372;1;0;0.13;0.11;0.03;0.03
197;"Nathaniel Brown";"Eintracht Frankfurt";19;1449;1;4;1.26;2.65;0.08;0.16
198;"Noahkai Banks";"Augsburg";16;1261;1;0;1.09;0.15;0.08;0.01
199;"Budu Zivzivadze";"FC Heidenheim";8;383;1;0;2.17;0.08;0.51;0.02
200;"James Sands";"St. Pauli";19;1613;1;0;0.56;0.87;0.03;0.05
201;"Daniel Svensson";"Borussia Dortmund";20;1508;1;1;1.42;1.92;0.08;0.11
202;"Tidiam Gomis";"RasenBallsport Leipzig";12;262;1;0;0.61;0.09;0.21;0.03
203;"Aaron Anselmino";"Borussia Dortmund";6;368;1;0;0.05;0;0.01;0
204;"Karim Coulibaly";"Werder Bremen";19;1586;1;0;1.08;0.17;0.06;0.01
205;"Adam Kölle";"FC Heidenheim";5;65;1;0;0.61;0.04;0.85;0.05
206;"Robin Fellhauer";"Augsburg";20;1662;1;1;0.99;1.31;0.05;0.07
207;"Louis Oppie";"St. Pauli";18;1396;1;0;1.08;0.58;0.07;0.04
208;"Ísak Bergmann Jóhannesson";"FC Cologne";19;1128;1;0;0.77;1.58;0.06;0.13
209;"Jens Castrop";"Borussia M.Gladbach";15;791;1;0;1.73;1;0.2;0.11
210;"Ransford Königsdörffer";"Hamburger SV";19;1276;1;0;5.2;0.84;0.37;0.06
211;"Albian Hajdari";"Hoffenheim";17;1385;1;0;1.71;0.24;0.11;0.02
212;"Isaac Schmidt";"Werder Bremen";12;436;1;0;0.5;0.41;0.1;0.09
213;"Montrell Culbreath";"Bayer Leverkusen";1;11;1;0;0.58;0.07;4.78;0.55
214;"Kacper Potulski";"Mainz 05";6;507;1;0;1.16;0;0.21;0
215;"Younes Ebnoutalib";"Eintracht Frankfurt";2;109;1;0;0.44;0.14;0.36;0.12
216;"Ayoube Amaimouni-Echghouyab";"Eintracht Frankfurt";4;40;1;1;0.08;0.13;0.18;0.29
217;"Timo Werner";"RasenBallsport Leipzig";3;11;0;0;0;0;0;0
218;"Oliver Baumann";"Hoffenheim";20;1800;0;0;0;0;0;0
219;"Niklas Süle";"Borussia Dortmund";6;302;0;1;0;0.3;0;0.09
220;"Michael Zetterer";"Eintracht Frankfurt";11;990;0;0;0;0;0;0
221;"Dominique Heintz";"FC Cologne";7;379;0;0;0;0.08;0;0.02
222;"Yannick Gerhardt";"Wolfsburg";11;781;0;0;0.5;0.32;0.06;0.04
223;"Kevin Kampl";"RasenBallsport Leipzig";3;3;0;0;0;0;0;0
224;"Nico Elvedi";"Borussia M.Gladbach";20;1800;0;0;0.21;0.14;0.01;0.01
225;"Manuel Neuer";"Bayern Munich";16;1440;0;0;0;0;0;0
226;"Pascal Groß";"Borussia Dortmund";11;619;0;1;0.83;1.34;0.12;0.19
227;"Leonardo Bittencourt";"Werder Bremen";8;173;0;0;0.02;0.18;0.01;0.09
228;"Matthias Ginter";"Freiburg";19;1710;0;2;0.52;1.67;0.03;0.09
229;"Pascal Stenzel";"VfB Stuttgart";2;114;0;0;0.16;0;0.13;0
230;"Marvin Friedrich";"Borussia M.Gladbach";5;143;0;0;0;0;0;0
231;"Niklas Stark";"Werder Bremen";7;309;0;0;0.02;0;0.01;0
232;"Mario Götze";"Eintracht Frankfurt";14;505;0;0;0.27;1.13;0.05;0.2
233;"Benjamin Henrichs";"RasenBallsport Leipzig";3;27;0;0;0;0;0;0
234;"Robin Zentner";"Mainz 05";9;788;0;0;0;0;0;0
235;"Philipp Lienhart";"Freiburg";12;904;0;0;0.81;0.12;0.08;0.01
236;"Alexander Nübel";"VfB Stuttgart";20;1800;0;1;0;0.28;0;0.01
237;"Jeffrey Gouweleeuw";"Augsburg";5;364;0;0;0.11;0.15;0.03;0.04
238;"Franck Honorat";"Borussia M.Gladbach";14;1046;0;5;0.58;4.28;0.05;0.37
239;"Ellyes Skhiri";"Eintracht Frankfurt";13;930;0;0;0.52;0.24;0.05;0.02
240;"Christian Günter";"Freiburg";13;749;0;2;0.35;1.21;0.04;0.14
241;"Nicolas Höfler";"Freiburg";6;51;0;0;0.07;0;0.13;0
242;"Janik Haberer";"Union Berlin";18;1103;0;1;0.6;1.26;0.05;0.1
243;"Marnon Busch";"FC Heidenheim";18;1026;0;2;0.38;1.65;0.03;0.14
244;"Janis Blaswich";"Bayer Leverkusen";3;208;0;0;0;0;0;0
245;"Marvin Schwäbe";"FC Cologne";20;1800;0;0;0;0.36;0;0.02
246;"Anthony Jung";"Freiburg";8;423;0;0;0;0.22;0;0.05
247;"Bakery Jatta";"Hamburger SV";7;442;0;0;0.52;0.1;0.11;0.02
248;"Jordan Torunarigha";"Hamburger SV";10;836;0;0;0.02;0.07;0;0.01
249;"Péter Gulácsi";"RasenBallsport Leipzig";20;1800;0;0;0;0;0;0
250;"Bernardo";"Hoffenheim";18;1594;0;0;0.3;0.28;0.02;0.02
251;"Daniel Heuer Fernandes";"Hamburger SV";19;1710;0;0;0.13;0;0.01;0
252;"Gregor Kobel";"Borussia Dortmund";20;1800;0;0;0;0;0;0
253;"Salih Özcan";"Borussia Dortmund";6;18;0;0;0.14;0;0.68;0
254;"Arne Maier";"Augsburg";1;1;0;0;0;0;0;0
255;"Stefan Posch";"Mainz 05";2;180;0;0;0;0.1;0;0.05
256;"Jonas Meffert";"Hamburger SV";4;134;0;0;0;0.13;0;0.09
257;"Lukas Klostermann";"RasenBallsport Leipzig";4;4;0;0;0.04;0.03;0.98;0.77
258;"Arnaud Nordin";"Mainz 05";13;468;0;0;0.72;0.14;0.14;0.03
259;"Dan-Axel Zagadou";"VfB Stuttgart";2;168;0;0;0.26;0.09;0.14;0.05
