"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
178;"Ibrahim Mbaye";"Paris Saint Germain";16;754;1;2;1.43;1.97;0.17;0.24
179;"Ngal&#039;ayel Mukau";"Lille";16;719;1;0;2.09;0.22;0.26;0.03
180;"Osame Sahraoui";"Lille";16;434;1;2;1.19;0.75;0.25;0.15
181;"Louis Leroux";"Nantes";14;1016;1;1;1.11;0.37;0.1;0.03
182;"Ali Abdi";"Nice";12;640;1;0;0.49;0.72;0.07;0.1
183;"Matt O&#039;Riley";"Marseille";15;725;1;2;0.86;3.09;0.11;0.38
184;"Soriba Diaoune";"Lille";6;64;1;1;0.84;0.13;1.18;0.18
185;"Quentin Ndjantou";"Paris Saint Germain";10;344;1;1;1.47;0.32;0.38;0.08
186;"Adam Karabec";"Lyon";17;776;1;0;1.51;1.28;0.18;0.15
187;"Ruben Kluivert";"Lyon";10;546;1;2;0.47;0.73;0.08;0.12
188;"Felix Mambimbi";"Le Havre";15;473;1;0;0.51;0.66;0.1;0.13
189;"Kojo Peprah Oppong";"Nice";18;1523;1;0;0.82;0.59;0.05;0.03
190;"Isak Jansson";"Nice";14;519;1;0;1.25;0.81;0.22;0.14
191;"Alexis Vossah";"Toulouse";15;596;1;1;0.42;0.49;0.06;0.07
192;"Marius Broholm";"Lille";10;253;1;1;0.97;0.51;0.34;0.18
193;"Dermane Karim";"Lorient";18;887;1;2;1.05;1.45;0.11;0.15
194;"Samir Chergui";"Paris FC";12;976;1;0;1.62;0.15;0.15;0.01
195;"Alimami Gory";"Paris FC";13;519;1;0;1.11;0.02;0.19;0
196;"Nouha Dicko";"Paris FC";8;51;1;1;0.6;0.3;1.07;0.53
197;"Adama Camara";"Paris FC";18;1452;1;0;1.77;0.61;0.11;0.04
198;"Giorgi Abuashvili";"Metz";13;324;1;0;0.43;0.29;0.12;0.08
199;"Kendry Páez";"Strasbourg";15;411;1;0;1.08;0.45;0.24;0.1
200;"Mamadou Sangaré";"Lens";18;1449;1;2;2.31;1.77;0.14;0.11
201;"Julián Vignolo";"Toulouse";7;43;1;0;0.1;0.08;0.21;0.17
202;"Mayckel Lahdo";"Nantes";8;434;1;1;0.66;0.17;0.14;0.03
203;"Pathé Mboup";"Brest";17;845;1;0;2.52;0.95;0.27;0.1
204;"Amine Sbaï";"Angers";13;944;1;1;1.81;1.33;0.17;0.13
205;"Noam Obougou";"Le Havre";5;84;1;0;0.16;0;0.17;0
206;"Kenny Quetant";"Le Havre";5;248;1;0;0.72;0.02;0.26;0.01
207;"Pape Diop";"Toulouse";3;265;1;1;0.12;0.18;0.04;0.06
208;"Noah Nartey";"Lyon";1;90;1;0;0.43;0;0.43;0
209;"Dante";"Nice";4;242;0;0;0.05;0;0.02;0
210;"Lukas Hradecky";"Monaco";8;635;0;0;0;0;0;0
211;"Ulisses García";"Marseille";4;203;0;0;0.04;0.03;0.02;0.01
212;"Francis Coquelin";"Nantes";7;297;0;0;0.06;0;0.02;0
213;"Ben Chilwell";"Strasbourg";14;1131;0;2;0.04;1.42;0;0.11
214;"Chancel Mbemba";"Lille";9;678;0;0;0.29;0.57;0.04;0.08
215;"Emerson";"Marseille";15;1204;0;3;0.27;2.14;0.02;0.16
216;"Assane Diousse";"Auxerre";13;179;0;0;0.16;0.15;0.08;0.07
217;"Pol Lirola";"Marseille";3;19;0;0;0;0.08;0;0.38
218;"Geoffrey Kondogbia";"Marseille";6;336;0;0;0.06;0;0.02;0
219;"Sofiane Boufal";"Le Havre";3;97;0;0;0.03;0.17;0.02;0.16
220;"Paul Pogba";"Monaco";3;22;0;0;0;0;0;0
221;"Joel Asoro";"Metz";8;220;0;0;0.78;0.1;0.32;0.04
222;"Timothée Kolodziejczak";"Paris FC";9;480;0;0;0.04;0.04;0.01;0.01
223;"Gerónimo Rulli";"Marseille";17;1530;0;0;0;0;0;0
224;"Lucas Hernández";"Paris Saint Germain";14;968;0;1;0.13;0.37;0.01;0.03
225;"André Gomes";"Lille";2;4;0;0;0;0;0;0
226;"Thilo Kehrer";"Monaco";14;1200;0;0;1.26;0.03;0.09;0
