"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
341;"Juanlu Sanchez";"Sevilla";18;1298;0;2;0.6;1.09;0.04;0.08
342;"Javier López";"Real Oviedo";10;585;0;0;0.04;0.35;0.01;0.05
343;"Sergio Lozano";"Levante";1;7;0;0;0;0;0;0
344;"Jon Pacheco Dozagarat";"Alaves";16;1321;0;0;0.18;0.64;0.01;0.04
345;"Aimar Oroz";"Osasuna";16;1158;0;2;0.95;1.91;0.07;0.15
346;"Víctor García";"Levante";10;346;0;0;0.13;0.4;0.03;0.1
347;"Arnau Tenas";"Villarreal";3;270;0;0;0;0;0;0
348;"Raul Moro";"Osasuna";1;67;0;0;0.05;0.06;0.06;0.07
349;"Yvan Neyou";"Getafe";5;49;0;0;0;0;0;0
350;"Luis Milla";"Getafe";21;1854;0;7;0.46;4.51;0.02;0.22
351;"Juan Cruz";"Osasuna";12;586;0;0;0.55;0.07;0.08;0.01
352;"Arsen Zakharyan";"Real Sociedad";12;263;0;0;0.13;0.86;0.04;0.29
353;"Oriol Rey";"Levante";12;745;0;0;0.18;0.1;0.02;0.01
354;"Donny van de Beek";"Girona";2;37;0;0;0.08;0;0.19;0
355;"Urko Gonzalez";"Espanyol,Real Sociedad";21;1327;0;1;0.41;0.15;0.03;0.01
356;"Matteo Ruggeri";"Atletico Madrid";15;955;0;0;0.18;1.2;0.02;0.11
357;"Josan";"Elche";12;402;0;2;0.28;2.03;0.06;0.45
358;"José Salinas";"Espanyol";8;123;0;0;0;0.11;0;0.08
359;"Mourad El Ghezouani";"Elche";2;42;0;0;0.11;0.03;0.24;0.06
360;"Nahuel Molina";"Atletico Madrid";15;613;0;1;0.04;1.22;0.01;0.18
361;"Victor Chust";"Elche";16;1221;0;0;0.29;0.05;0.02;0
362;"Martín Satriano";"Getafe";3;259;0;0;0.31;0.12;0.11;0.04
363;"Jairo Izquierdo";"Elche";1;22;0;0;0;0;0;0
364;"Yeremi Pino";"Villarreal";2;165;0;1;0.13;0.86;0.07;0.47
365;"Jesús Vázquez";"Valencia";13;624;0;0;0.19;0.39;0.03;0.06
366;"Ilaix Moriba";"Celta Vigo";22;1475;0;1;1.05;1.56;0.06;0.1
367;"Abdelkabir Abqar";"Getafe";10;709;0;1;0.33;0.61;0.04;0.08
368;"Pablo Cuñat";"Levante";2;180;0;0;0;0;0;0
369;"Beñat Turrientes";"Real Sociedad";13;551;0;1;0.35;0.11;0.06;0.02
370;"Jon Ander Olasagasti";"Levante";17;474;0;2;0.21;1.59;0.04;0.3
371;"Beñat Prados";"Athletic Club";2;87;0;0;0.02;0.04;0.02;0.04
372;"Carlos Domínguez";"Celta Vigo";6;425;0;0;0.04;0.03;0.01;0.01
373;"Hugo Sotelo";"Celta Vigo";14;922;0;1;0.09;1.49;0.01;0.15
374;"Jesús Areso";"Athletic Club";19;1241;0;1;0.1;1.3;0.01;0.09
375;"Joan García";"Barcelona";16;1440;0;0;0;0;0;0
376;"Matías Dituro";"Elche";7;630;0;0;0;0.08;0;0.01
377;"Gavi";"Barcelona";2;50;0;1;0;0.14;0;0.25
378;"Álex Balde";"Barcelona";18;1350;0;2;0.31;2.76;0.02;0.18
379;"Óscar Valentín";"Rayo Vallecano";19;1222;0;0;0.42;0.66;0.03;0.05
380;"Randy Nteka";"Rayo Vallecano";6;53;0;0;0.21;0.02;0.35;0.04
381;"Julen Agirrezabala";"Valencia";18;1620;0;0;0;0.01;0;0
382;"Nicolás Serrano";"Athletic Club";9;169;0;0;0.28;0.25;0.15;0.13
383;"Leo Román";"Mallorca";17;1530;0;0;0;0;0;0
384;"Jon Karrikaburu";"Real Sociedad";6;106;0;0;0.69;0.02;0.59;0.02
385;"Antonio Sánchez";"Mallorca";18;711;0;0;0.07;0.56;0.01;0.07
386;"Rubén Sánchez";"Espanyol";13;433;0;0;0.05;0.07;0.01;0.02
387;"Carlos Martín";"Rayo Vallecano";4;210;0;0;0.28;0.53;0.12;0.23
388;"César Tárrega";"Valencia";20;1587;0;0;0.28;0.09;0.02;0.01
389;"Ilias Akhomach";"Rayo Vallecano,Villarreal";11;294;0;0;1.32;0.64;0.4;0.2
390;"Javi Llabrés";"Mallorca";11;116;0;0;0.16;0.04;0.12;0.03
391;"Rubén Iranzo";"Valencia";1;1;0;0;0;0;0;0
392;"Marc Pubill";"Atletico Madrid";10;680;0;1;0.11;0.52;0.02;0.07
393;"Jofre Carreras";"Espanyol";15;611;0;0;0.69;1.14;0.1;0.17
394;"Javier Guerra";"Valencia";21;1036;0;2;1.13;1.34;0.1;0.12
395;"Kike Salas";"Sevilla";11;849;0;0;0.53;0.07;0.06;0.01
396;"Ugo Raghouber";"Levante";3;202;0;0;0.02;0;0.01;0
397;"Abu Kamara";"Getafe";9;162;0;0;0.37;0.05;0.21;0.03
398;"Damián Rodríguez";"Celta Vigo";2;155;0;0;0.07;0.12;0.04;0.07
399;"Luca Koleosho";"Espanyol";3;48;0;0;0.02;0.02;0.05;0.04
400;"Jorge Herrando";"Osasuna";18;956;0;1;0.17;0.69;0.02;0.07
